Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
16,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
19,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
18,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
13,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
11,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
18,255,1,NULL,0,0,51
20,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
17,504,1,NULL,0,0,51
14,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
20,504,1,NULL,0,0,51
15,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
15,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
20,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
20,504,1,NULL,0,0,51
20,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
20,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
14,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
15,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
16,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
17,504,1,NULL,0,0,51
19,504,1,NULL,0,0,51
18,504,1,NULL,0,0,51
18,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
16,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
18,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
17,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
19,752,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
15,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
15,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
16,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
16,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
20,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
17,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
